,TAX_TYPE_DESC,Sum AMOUNT
29,OVERALL SUM,639007660244.4941
26,VALUE-ADDED TAX(VAT),159538831090.32
20,SCHEDULE C-NORMAL,137519674294.7
15,SCHEDULE A-PAYE (MONTHLY),119310292500.22
2,EXCISE TAX,61955304642.31
28,WITH TAX ON PAYM,48148240421.0
27,VAT-WITHHOLDING,47515183675.85
5,PRIVATE EMPL. PENSION CONTRIBUTION,23890690064.62
8,SCHED D-DIVIDENDS,11928356769.21
12,SCHED D-INT. ON DEP,7790624520.0199995
17,SCHEDULE B INCOME FROM RENTAL BUILDING,6960321499.660001
21,SCHEDULE D-MANGEMENT OR TEC SERV,4529894469.12
22,STAMP DUTY & MISC FEES,2480156642.14
24,TURNOVER,2334268273.18
19,SCHEDULE C-MINING,2305408161.92
1,COST SHARING,766299370.55
10,SCHED D-GAIN ON SHAR,475137187.77
13,SCHED D-ROYALTIES,438070561.28
11,SCHED D-GAMES OF CHC,285100600.42
9,SCHED D-GAIN ON BUIL,268653113.36
25,TURNOVER- PRESUMPTIVE,213382454.96
18,SCHEDULE C- PRESUMPTIVE,190207065.55
16,SCHEDULE A-PIT,71235566.11
14,SCHEDULE A-PAYE (ANNUAL OLD),34778949.49
4,PAYE- PRESUMPTIVE,27339103.38
0,Bank Windfall Income Tax,14054285.57
3,FEES AND ADMINISTRATIVE PENALTIES,13933280.0
7,SCHED D-CASUAL PROP,2217797.7800000003
23,TAX ON MINING SERVICES RENDERED BY NON-RESIDENTS,3524.0
6,PUBLIC EMPL. PENSION CONTRIBUTION,360.0
