,index,citax_2022,citax_ref_2022,citax_ref_2023,citax_ref_2024,citax_ref_2025,citax_ref_2026,citax_ref_2027,citax_ref_2028,citax_ref_2029,citax_ref_2030
0,<0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0
2,0-5m,"10,907","10,907","10,907","10,907","10,907","10,907","10,907","10,907","10,907","10,907"
3,5-10m,"2,896","2,896","2,896","2,896","2,896","2,896","2,896","2,896","2,896","2,896"
4,10-15m,"1,577","1,577","1,577","1,577","1,577","1,577","1,577","1,577","1,577","1,577"
5,15-20m,"1,252","1,252","1,252","1,252","1,252","1,252","1,252","1,252","1,252","1,252"
6,20-30m,"1,606","1,606","1,606","1,606","1,606","1,606","1,606","1,606","1,606","1,606"
7,30-40m,834,834,834,834,834,834,834,834,834,834
8,40-50m,599,599,599,599,599,599,599,599,599,599
9,50-100m,"1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748","1,748"
10,100-500m,"3,092","3,092","3,092","3,092","3,092","3,092","3,092","3,092","3,092","3,092"
11,500m-1bn,832,832,832,832,832,832,832,832,832,832
12,>1bn,932,932,932,932,932,932,932,932,932,932
13,ALL,"26,277","26,277","26,277","26,277","26,277","26,277","26,277","26,277","26,277","26,277"
