,weight_2022,citax_2022,Net_Income_2022,weight_ref_2022,citax_ref_2022,Net_Income_ref_2022,weight_ref_2023,citax_ref_2023,Net_Income_ref_2023,weight_ref_2024,citax_ref_2024,Net_Income_ref_2024,weight_ref_2025,citax_ref_2025,Net_Income_ref_2025,weight_ref_2026,citax_ref_2026,Net_Income_ref_2026,weight_ref_2027,citax_ref_2027,Net_Income_ref_2027,weight_ref_2028,citax_ref_2028,Net_Income_ref_2028,weight_ref_2029,citax_ref_2029,Net_Income_ref_2029,weight_ref_2030,citax_ref_2030,Net_Income_ref_2030,ETR,ETR_ref
0,"1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000","1,337.0000",0.0000,"-10,926.0000",-0.0000,-0.0000
1,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,"1,337.0000",0.0000,-187.0000,-0.0000,-0.0000
2,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,"1,338.0000",0.0000,-29.0000,-0.0000,-0.0000
3,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,"1,337.0000",0.0000,-1.0000,-0.0000,-0.0000
4,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,nan,nan
5,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,nan,nan
6,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,nan,nan
7,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,nan,nan
8,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,nan,nan
9,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,nan,nan
10,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,nan,nan
11,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,nan,nan
12,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,nan,nan
13,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,nan,nan
14,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,"1,338.0000",0.0000,0.0000,nan,nan
15,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,"1,337.0000",0.0000,0.0000,nan,nan
16,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,"1,338.0000",0.0000,1.0000,0.0000,0.0000
17,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,"1,337.0000",0.0000,8.0000,0.0000,0.0000
18,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,"1,338.0000",1.0000,15.0000,0.0667,0.0667
19,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,"1,337.0000",1.0000,22.0000,0.0455,0.0455
20,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,"1,338.0000",2.0000,27.0000,0.0741,0.0741
