,index,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0,<0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,"62,308","62,308","81,001","105,301","136,891","177,959","231,346","300,750","390,975","508,268"
3,0.5-1m,"9,690","9,690","12,597","16,376","21,289","27,676","35,978","46,772","60,803","79,044"
4,1-1.5m,"4,584","4,584","5,960","7,748","10,072","13,093","17,021","22,128","28,766","37,396"
5,1.5-2m,"2,127","2,127","2,765","3,595","4,673","6,075","7,897","10,266","13,346","17,350"
6,2-3m,"1,500","1,500","1,950","2,535","3,295","4,284","5,569","7,239","9,411","12,234"
7,3-4m,"1,163","1,163","1,512","1,966","2,556","3,323","4,319","5,615","7,300","9,490"
8,4-5m,873,873,"1,136","1,476","1,919","2,495","3,243","4,216","5,481","7,125"
9,5-10m,"2,472","2,472","3,213","4,177","5,430","7,059","9,177","11,930","15,510","20,162"
10,>10m,0,0,0,0,0,0,0,0,0,0
11,ALL,"84,718","84,718","110,133","143,173","186,125","241,963","314,552","408,917","531,592","691,070"
