,index,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,0,0,0,0,0,0,0
3, 10-20,1,1,1,1,1,1,1,1,1,1
4, 20-30,265,265,265,265,265,265,265,265,265,265
5, 30-40,768,768,768,768,768,768,768,768,768,768
6, 40-50,"1,517","1,517","1,517","1,517","1,517","1,517","1,517","1,517","1,517","1,517"
7, 50-60,"2,855","2,855","2,855","2,855","2,855","2,855","2,855","2,855","2,855","2,855"
8, 60-70,"4,945","4,945","4,945","4,945","4,945","4,945","4,945","4,945","4,945","4,945"
9, 70-80,"8,418","8,418","8,418","8,418","8,418","8,418","8,418","8,418","8,418","8,418"
10, 80-90,"15,310","15,310","15,310","15,311","15,311","15,310","15,311","15,311","15,311","15,310"
11, 90-100,"70,110","70,110","70,110","70,114","70,114","70,110","70,114","70,114","70,114","70,110"
12, ALL,"10,419","10,419","10,419","10,419","10,419","10,419","10,419","10,419","10,419","10,419"
13, 90-95,"28,444","28,444","28,444","28,448","28,448","28,444","28,448","28,448","28,448","28,444"
14, 95-99,"62,516","62,516","62,516","62,538","62,538","62,516","62,538","62,538","62,538","62,516"
15, Top 1%,"308,573","308,573","308,573","308,754","308,754","308,573","308,754","308,754","308,754","308,573"
