Year,CPI,SALARY,Sales,Other_Income,Cost_of_Goods,Total_Expense,Loss_CF_Prev,Loss_CB_Adj,Add_Bld,Add_Intang,Add_Mach,Add_Others,Add_Comp,Excl_Bld,Excl_Intang,Excl_Mach,Excl_Others,Excl_Comp
2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,1,1,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961,1.416776961
2024,1,1,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671,1.347240671
2025,1,1,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909,1.319023909
2026,1,1,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865,1.275044865
2027,1,1,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216,1.217840216
2028,1,1,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668,1.208304668
2029,1,1,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504
2030,1,1,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504
2031,1,1,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504
2032,1,1,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504,1.189350504
