id_n,Year,rural_urban,region,Employment_Income,job_desc,job_category,employer_activity,employer_activity_code,employer_category,formal,weight
2,2022,2. URBAN,2. AFAR,60000.0,Revenue and customs officer,"4. Clerks, Office clerks ",Revenue and customs,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,40.33983612
6,2022,2. URBAN,2. AFAR,240000.0,Engineering,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Animal protection and controll,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,40.33983612
7,2022,2. URBAN,2. AFAR,75000.0,Education officer,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,3993.643799
8,2022,2. URBAN,2. AFAR,70000.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,3993.643799
9,2022,2. URBAN,2. AFAR,80000.0,Education officer,"2. Professionals/ Physical, Mathematical and Engineering Science Professionals",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,3993.643799
11,2022,2. URBAN,2. AFAR,36000.0,Factory worker,"4. Clerks, Office clerks ",Sugar production,3. MINING AND QUARRYING,4. STATE-OWNED ENTERPRISE,1. YES,40.92865372
12,2022,2. URBAN,2. AFAR,21600.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Women and childrens affairs bureau,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),3. GOVERNMENT,1. YES,40.92865372
13,2022,2. URBAN,2. AFAR,9000.0,Retail shop,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Trade,8. HOTELS AND RESTAURANTS/ HOTELS (WITH HOTEL ROOMS); CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION,1. PRIVATE COMPANY,2. NO,40.92865372
14,2022,2. URBAN,2. AFAR,21600.0,Gardener,"9. Elementary Occupations, Sales And Services Elementary Occupations",Public adminstration,13. EDUCATION,3. GOVERNMENT,1. YES,4175.617676
16,2022,2. URBAN,2. AFAR,48000.0,Agriculture office,"4. Clerks, Office clerks ",Agriculture,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),3. GOVERNMENT,1. YES,4175.617676
17,2022,2. URBAN,2. AFAR,27500.0,Police,10. Army/ Member of the Armed Forces,Security,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),3. GOVERNMENT,1. YES,4175.617676
18,2022,2. URBAN,2. AFAR,48000.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Electric power provision,"5. ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",3. GOVERNMENT,1. YES,2112.083252
19,2022,2. URBAN,2. AFAR,36000.0,Cleaning service,"9. Elementary Occupations, Sales And Services Elementary Occupations",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,2112.083252
20,2022,2. URBAN,2. AFAR,30000.0,Security service,10. Army/ Member of the Armed Forces,Secretary service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),3. GOVERNMENT,1. YES,2112.083252
23,2022,2. URBAN,2. AFAR,21600.0,Gardener,"9. Elementary Occupations, Sales And Services Elementary Occupations",Providing vital statstics  service,10. FINANCIAL INTERMEDIATION (EXCEPT INSURANCE AND PENSION FUNDING),3. GOVERNMENT,1. YES,342.5464172
24,2022,2. URBAN,2. AFAR,63600.0,Revenue and customs officer,"4. Clerks, Office clerks ",Revenue and customs,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,342.5464172
28,2022,2. URBAN,2. AFAR,130000.0,Teacher,"4. Clerks, Office clerks ",Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,40.33983612
32,2022,2. URBAN,2. AFAR,64600.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Eductaion,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,40.71596909
34,2022,2. URBAN,2. AFAR,20000.0,Factory worker,"7. Craft And Related Trades Workers, Extraction and Building Trades Workers",Sugar production,3. MINING AND QUARRYING,3. GOVERNMENT,1. YES,2535.890137
35,2022,2. URBAN,2. AFAR,60000.0,Finance officer,"4. Clerks, Office clerks ",Finance service,"9. TRANSPORT, STORAGE AND COMMUNICATIONS/LAND TRANSPORT; PEOPLE AND MERCHANDISE",3. GOVERNMENT,1. YES,3993.643799
41,2022,2. URBAN,2. AFAR,48000.0,Governement employee,"4. Clerks, Office clerks ",Youth and sport development service,"4. MANUFACTURING (FOR EXAMPLE MANUFACTURING OF FOOD PRODUCTS INCLUDING PROCESSING, CANING AND PRESERVING. WEAVING, BLACKSMITH ETC)",3. GOVERNMENT,1. YES,40.33983612
42,2022,2. URBAN,2. AFAR,48000.0,Health worker,"4. Clerks, Office clerks ",Health service,"12. PUBLIC ADMINISTRATION DEFENCE, POLICE AND OTEHR GOV'T WORK",3. GOVERNMENT,1. YES,40.33983612
49,2022,1. RURAL,2. AFAR,5700.0,Guard,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Agriculture,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",3. GOVERNMENT,2. NO,68.54495239
69,2022,1. RURAL,2. AFAR,48000.0,Teacher,3. Technicians and Associate Professionals/ Physical and Engineering Science Associate Professionals,Education,"11. REAL ESTATE, RENTING AND BUSINESS ACTIVITIES)",3. GOVERNMENT,1. YES,4499.266113
75,2022,1. RURAL,2. AFAR,36000.0,Security service,"5. Service Workers and Shop and Market Sales Workers/ Personal and Protective Service workers, Travel attendants and related workers ",Secretary service,"1. AGRICULTURE (HUNTING, FORESTRY AND PRODUCTION OF RELATED PRODUCTS AND SERVICES)",3. GOVERNMENT,1. YES,69.35108948
