,centile_count,centile
0,49796,806032.5889
1,26217,1612065.1778
2,8406,2418097.7667
3,4637,3224130.3556
4,3174,4030162.9444999998
5,2295,4836195.5334
6,1791,5642228.1223
7,1430,6448260.7112
8,1158,7254293.3001
9,996,8060325.8889999995
10,823,8866358.4779
11,740,9672391.0668
12,597,10478423.6557
13,615,11284456.2446
14,505,12090488.8335
15,437,12896521.4224
16,422,13702554.0113
17,365,14508586.6002
18,336,15314619.1891
19,341,16120651.777999999
20,317,16926684.3669
21,273,17732716.9558
22,264,18538749.5447
23,240,19344782.1336
24,222,20150814.7225
25,207,20956847.3114
26,212,21762879.9003
27,168,22568912.4892
28,185,23374945.0781
29,164,24180977.667
30,157,24987010.2559
31,132,25793042.8448
32,140,26599075.4337
33,114,27405108.0226
34,133,28211140.6115
35,123,29017173.2004
36,123,29823205.7893
37,116,30629238.3782
38,112,31435270.9671
39,109,32241303.555999998
40,98,33047336.144899998
41,82,33853368.7338
42,77,34659401.3227
43,95,35465433.9116
44,82,36271466.5005
45,81,37077499.0894
46,80,37883531.6783
47,82,38689564.2672
48,67,39495596.8561
49,77,40301629.445
50,81,41107662.0339
51,64,41913694.6228
52,70,42719727.2117
53,59,43525759.8006
54,58,44331792.3895
55,59,45137824.9784
56,51,45943857.5673
57,43,46749890.1562
58,42,47555922.7451
59,47,48361955.334
60,38,49167987.9229
61,47,49974020.5118
62,55,50780053.1007
63,44,51586085.6896
64,34,52392118.2785
65,51,53198150.8674
66,48,54004183.4563
67,29,54810216.0452
68,36,55616248.6341
69,35,56422281.223
70,34,57228313.8119
71,30,58034346.4008
72,28,58840378.9897
73,27,59646411.5786
74,47,60452444.1675
75,34,61258476.7564
76,27,62064509.3453
77,25,62870541.9342
78,36,63676574.523099996
79,34,64482607.111999996
80,24,65288639.700899996
81,27,66094672.289799996
82,31,66900704.878699996
83,21,67706737.4676
84,26,68512770.0565
85,32,69318802.6454
86,24,70124835.2343
87,34,70930867.8232
88,21,71736900.4121
89,29,72542933.001
90,23,73348965.5899
91,14,74154998.1788
92,17,74961030.7677
93,18,75767063.3566
94,27,76573095.9455
95,23,77379128.5344
96,23,78185161.1233
97,22,78991193.7122
98,10,79797226.3011
99,13,80603258.89
100,7,81409291.4789
101,19,82215324.0678
102,18,83021356.6567
103,20,83827389.2456
104,18,84633421.8345
105,18,85439454.4234
106,13,86245487.0123
107,12,87051519.6012
108,11,87857552.1901
109,13,88663584.779
110,16,89469617.3679
111,11,90275649.9568
112,8,91081682.5457
113,12,91887715.1346
114,13,92693747.7235
115,16,93499780.3124
116,14,94305812.9013
117,8,95111845.4902
118,13,95917878.0791
119,9,96723910.668
120,9,97529943.2569
121,10,98335975.8458
122,21,99142008.4347
123,7,99948041.0236
124,15,100754073.6125
125,13,101560106.2014
